SWP_No,Accused_or_Topic,Date,Legal_Proceeding,Trial_Text,word_count,char_count
SWP No. 5.1,Nehemiah Abbott Jr.,"April 22, 1692",Examination,"(Examination of Nehemiah Abbott, Jr. ) [April 22, 1692] The examination of Nehemiah Abbot , at a court at Salem village,  by John Hawthorne and Jonathan Corwin Esqrs. 22nd April 1692 . What say you, are you guilty of witchcraft, of which you are suspected, or not? No Sir, I say before God, before whom I stand, that I know nothing of witchcraft. Who is this man? Ann Putman named  him. -- Mary Walcot said she had seen his shape. What do you say to this? I never did hurt them. Who hurt you Ann Putman ? That man.  I never hurt her. Ann Putman said, he is upon the beam. Just such a  discovery of the person carried out, and she confessed; and if you  would find mercy of God, you must confess. -- If I should confess  this, I must confess what is false. Tell how far you have gone, who  hurts you? I do not know, I am absolutely free. As you say, God  knows. If you will confess the truth, we desire nothing else that you  may not hide you guilt, if you are guilty, and therefore confess if so.  I speak before God that I am clear from this accusation. What, in all  respects? Yes in all respects. Doth this man hurt you? Their mouths  were stopped. You hear several accuse you, though one cannot open  her mouth. I am altogether free. Charge him not unless it be he. This  is the man say some, and some say he is very like him. How did you  know his name? He did not tell me himself, but other witches told  me. Ann Putman said, it is the same man, and then she was taken with  a fit. Mary Walcot , is this the man? He is like him, I cannot say it is  he. Mercy Lewis said it is not the man. They all agreed, the man had  a bunch on his eyes. Ann Putman , in a fit, said, be you the man? ay,  do you say you be the man? did you put a mist before my eyes?  Then he was sent forth till several others were examined. When he was  brought in again, by reason of much people, and many in the windows so that the accusers could not have a clear view of him, he was   ordered to be abroad, and the accusers to go forth to him and view  him in the light, which they did, and in the presence of the magistrates and many others discoursed quietly with him, one and all acquitting him, but yet said he was like that man, but he had not the  wen they saw in his apparition, Note, he was a hilly faced man and stood shaded by reason of his own hair, so that for a time he seemed  to some by-standers and observers, to be considerably like the person the afflicted did describe. Mr. Samuel Parris , being desired to take in writing the examination of Nehemiah Abbot , hath delivered it as aforesaid, and upon  hearing the same did see cause to dismiss him. John Hawthorne Jona. Corwin {  Assistants. ( Thomas Hutchinson , The History of the Province of Massachusetts-Bay,  vol. 2, ed. Lawrence Shaw Mayo. (Cambridge, MA: Harvard University Press, 1936.) p. 35.",554,2849
SWP No. 69.3,Abigail Hobbs,"June 29, 1692",Examination,"(Examination of Abigail Hobbs ) [June 29, 1692] Examinacon of Abigall Hobbs [before theire] Maj'ties Justices June 29 1692. Saith that on Friday last John Procter Sen'r being in a room w'th her alone told her that She had better to aflict then be aflicted & that She Should not be hanged but Enjoyned her to aflict Ann Putman & perswaded her to Set her hand to the Booke & Guided her hand personaly to do it & after this his appearance brought me a poppet & a Thorne w'ch I Stuck into the poppet to aflict sd Ann Putman a friday ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 156, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",126,697
SWP No. 135.7,Mary Warren,"May 18, 1692",Deposition,"(Deposition of Elizabeth Booth v. Mary Warren and Daniel Andrew ) [May 18, 1692] Salem May the 18'th 1692 Elizabeth Booth Aged 18 years or thereabouts, Testifieth and saith that the three first fitts she had, she saw nothing: but afterwards in her fitts this Deponent saw Daniell Andross who told her though Mary Warren could not hurt her the night before now he would: and  withall Brought: a Book and bid this deponent sett her hand to it: but the night before as she Lay in her Bed Mary warring went to her bed side and brought a little Baby to this Deponent and told her that she might sett her hand to the Book. and not know of it: but this Deponent told the said Andross she would not: then he told the said Deponent that he would Afflicted Still since this Deponent hath been afflicted severall times by the said Andross: & others that she knows not. (On reverse) Eliz Booth against Daniell Androw ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no.118, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",190,1072
SWP No. 170.29,Superior Court of Judicature: Witchcraft Trials (January - May 1693),,Release,"(Release of Mary Watkins ) To Mr. Caleb Ray Keeper of the Prison in Boston Greeting. Whereas Mary Watkins Single woman was lately remanded to Prison till she should find Sureties for the good Behaviour wch she hath not been able to procure, by reason of her deep poverty & want of Friends; And Whereas the said Watkins is very infirm, and like to prove burdensom to the publick if longer continued in Custody. Where- -fore upon further consideration, these are to order you to discharge Said Mary Watkins the Prison, she paying her Fees. Dated in Boston; July, 14. 1693. Annoquae RR & Reginae Gulielmi & Mariae nunc Angliae &c Quinto. Wm Stoughton Tho: Danforth John Richards Sam Sewall Wait Winthrop ( Records of the Superior Court of Judicature (1692/3), pp. 37, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA. Also, Fogg Collection, vol. 8, no. 420, Maine Historical Society, Portland, ME.)",156,944
SWP No. 94.12,"Rebecca Nurse Executed July 19, 1692","June 29, 1692",Testimony,"( Testimony of John Putnam, Sr. and Rebecca Putnam , for Rebecca Nurse ) [++ June 29, 1692] the testemony of John putnam : sen and rebecke his wife saith that our son in law John Fuller: and our dauter rebecke Shepard did both of them by #[a most] (a most violent death and did acting vere strangly at the time of ther death) farder saith that wee did Judg then that thay both diead of a malignant fever and had no suspiction of wichcraft of aney nether Can wee acues the prisner at the bar of any such thing ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 125 )",113,577
SWP No. 107.11,"John Proctor Executed, August 19, 1692","April 11, 1692",Deposition,"(Deposition of Elizabeth Hubbard v. John Proctor ) [+ April 11, 1692 ] The Deposistion of Elizabeth Hubburd agged about 17 years who testifieth and saith that I never saw the Apperishtion of Jno: procktor sen'r before the day of his Examination which was the 11'th April 1692: but sence that the Apperishtion of Jno: procktor sen'r has most greviously afflected me a great many times by pinching pricking and beating me allmost choaking me to death urging me vehemently to writ in his book mark O Eliz. Hubbard Jurat in Curia (Reverse) Elizabeth Hubbard ag't John procter ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 49, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",122,739
SWP No. 173.46,Reversal of Attainder and Restitution (1710 - 1750),"October 30, 1711",Expenses,"[ ]archives/MA135.jpg/large/MA171.jpg) ( Expenses of General Court for Reversals of Attainders ) [October 30, 1711] Province Mass'ts -- Bay D'r: to Sundry charges of the Committee Appointed by the Generall Court in June 1710, to Inquire what Names were proper to be Inserted in the Bill for the Reversing of the Attainder of Persons condemn'd for Witchcraft. &ca: viz't: To 3 daies #[entertainment of themselves and horses being four, #[at mr. Prat's at Salem] £: 0: 0 To Entertainment at Mr. Prats at Salem..................................1: 3: 0 To Majr. Sewal's Attendance; & sending of Notifications to all concerned.......................1: 0: 0 [Total] 6: 3: 0 *John Appleton= In the House of Representatives Octo: 27th: 1711. Read & Resolved That the Sum of Six Pounds & three Shillings be allowed, & Paid out of the publick Treasury to John Appleton Esq; to Discharge the said acco: Sent up for Concurrence. Octo: 30th: 1711. In Council. Read and Concurr'd *John Burrell Speaker *Isa: Addington Sec (Reverse) Resolve for paym't of L 6: 3: 0 to Jno Appleton Esq'r. on behalfe of the Committee ab't the Witchcraft. ( Mass. Archives Vol. 135, no. 171. Massachusetts State Archives. Boston, MA. )",195,1201
SWP No. 173.91,Reversal of Attainder and Restitution (1710 - 1750),,Act to Reverse,"(An Act for Reversing the Attainder of Abigail Faulkner , Sarah Wardel , Elizabeth Proctor ) Whereas Abigail Faulkner , wife of Francis Faulkner of Andover in the County of Essex, Sarah Wardel Wife of Samuel Wardel of the same place, Elizabeth Proctor Wife of John Proctor of Salem Village within the said County. In the Court of Oyer and Terminer and Goal Delivery holden at Salem within the said County of Essex in the year One Thousand Six hundred ninety two were arraigned convicted and attainted of Felony for practicing Witchcraft, who have now humbly petitioned this Court, That the said Attainders may be set aside and made void.---Wherefore Be it Declared & Enacted by his Excellency the Governor Council and Representatives in Generalcourt Assembled, and by the authority of the same, That the said Several convictions, Judgements and Attainders of the said Abigail Faulkner , Sarah Wardel , Elizabeth Proctor and every of them be, and are repealed, reversed, made and declared null and void to all intents, constructions and purposes whatsoever; as if no such convictions, Judgements or Attainders had ever been had or given. And that no corruption of blood, pains penalties or Forfeitures of Goods or Chattels be by the said convictions and Attainders or any of them incurred, But that the said persons and every of them be and hereby are reinstated in their just Credit and reputation--- Any Law, usage or custom to the contrary notwithstanding [Passed July 27] ( Acts and Resolves, Public and Private, of the Province of Massachusetts Bay, Private Acts. vol. 6, 1692–1780, no. 16 (Boston: Wright and Potter, 1896), p. 49. )",274,1637
SWP No. 16.7,Mary Bradbury,"July 22, 1692",Petition,"(Petition for Mary Bradbury ) [July 22, 1692] July 22'd 1692 Concerning m's Bradburies life & conversation Wee the Subscribers doe testifie; that it was such as became the  gospel shee was a lover of the ministrie in all appearance & a dilligent, attender upon gods holy ordinances, being of a curteous, & peaceable disposition & cariag: neither did any of us (some of whom have  lived in the town w'th her above fifty yeare) ever heare or know that  shee ever had any difference or falling oute w'th any of her neighbors man woman or childe but was allways, readie & willing to doe for them w't laye in her power night & day, though w'th hazard of her health: or other danger: more might be spoken in her commendation but this for the pr'sent Martha Pike Sam'l Easman Elizabeth Easman William Buswell Mary French his wyfe Sarah Buswell Abigayl French Samuell Felloes sen'r John Allin Rodger Easman Mary Allin Sarah Easman William Carr Joseph Fletcher & Elizabeth Carr his wyfe Sam'll Colby Joseph French Samuell French & his wyfe John French sen'r Henry Ambros & his wyfe Nathanel Stevens & his Philip Grele and his wyfewyfe Richard Hubbard Ephraim Severans Matthew Hubbard his wyfe Lidia Severans Daniell Moody Sam'll Felloes jun'r Elizabeth Moody Abigail Felloes Isaac Morrill Phoeboe Morrill John Clough & his wyfe John Maxfeild Joseph Eaton Jarves Ring Mary Eaton his wife Hannah Ring Robert Downer Nathanel Whitter Sarah Downer Mary Whitther Richard Long & his Jacob Morrill wyfe Susannah Morrill . Richard Smith & his wyfe Elizabeth Maxfeild Joseph True , & his wyfe Hanah Stevens widdow Andrew Greley & his John Stevens wyfe Dorethie Stevens William Hooke Joanna Stevens Elizabeth Hooke Sarah Hacket Benjamin Allin and Rachel Marthe Carter his wyfe Elizabeth Gettchell Benj Allin and Rachell Benj: Eastmen his wyfe Ann Easman Isaac Buswell , & his Benony Tucker wyfe Ebenezer Tucker William Allin Nathanel Brown Ephraim Eaton Hannah Brown Ephraim Winsley Tho: Evens Mary Winsley his wyfe Hannah Evens Nathaniel Eastman Abraham Brown & his wyfe Tho. Clough & his wyfe John Eastman & Mary Eastman his wife Sarah Conner widow John Tomson Sarah Shepherd John Watson & his wyfe Willi: Osgood Steven Tongue & his wyfe Abigayl osgood John Connor & his wyfe Susanah Severance Joseph Page Onesiphris Page & his Meres Tucker & his wyfe  wyfe Henry Brown Sen'r & Sam'll Bill & his wyfe his wyfe ( Essex County Court Archives, Salem - Witchcraft, vol. 2, no. 83. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA )",431,2558
SWP No. 171.2,Laws Passed,"December 12, 1693",Order of the Superior,"(Superior Court of Judicature: Statement of Sums Due) [December 12, 1693] An account of what is due to the Severall persons hereafter Named from the publique for their respective disbursem'ts and services according to their acco'ts Given in and & Examined by the Superiour Court holden at Salem by Adjournem't December the 12'th 1693 viz: Thomas Beadle Cr by his acco of disbursm'ts £ 58 11 5 Dr to what was p'd by the Sheriff £ 17 17 6 Due to ballance  £ 40 13 11 Samuel Beadle Cr by his acco't £ 21 0 0  Dr to what p'd by the Sheriff £ 10 0 0    £ 11 0 0 Samuel Shattock Cr as p his accor£ 07 02 00 Dr to whats p'd by the Sheriff £ 03 00 00 £ 04 02 00 John Cook Cr by his      acco £ 02 13 00 Mary Gedey Cr by her acco£ 70 00 00 Dr by what's p'd by the Tr[ & Sherriffe £ 55 13 00 £ 14 07 00 John Stacy Cr by his acco. of disbursem'ts £ 04 00 0 Mr Thomas Newton for his service £ 02 05 0 John Putman Constable 30s & Jonathan Putman 30s for their Extreordinary Service & Travell £ 03 0 0 Joseph Neal for his service and travel £ 02 0 0 Capt. Willard William Murry & Thomas Putnam for their service 5 £ each £ 15 0 0 Nathaniel Ingorsoll his acco of disbursem'ts £ 06 0 0 George Herrick for his Great service£ 25 0 0                                                 £ 130 00 11 Allowed upon the acco above the severall summes there amounting to The Summ of One hundred and thirty pounds Eleven pence Wm Stoughton Vera Copia attest *Jona' Elatson Cle[r]. (Reverse) ord'r from the Superiour Court ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 179, Massachusetts Supreme Judicial Court, Judicial Archives, on deposit James Duncan Phillips Library, Peabody Essex Museum, Salem, MA. )",328,1693
SWP No. 167.1,Petitions from Relatives of Prisoners and Others (October 1692 - January 1693),"October 12, 1692",Petition,"(Petition of John Osgood of Andover and Eight Others on Behalf of Their Wives and Relations ) [October 12, 1692] To the Honored Generall Court Now sitting in Boston this  12 of october 1692 Right honored Gentlemen and fathers We your humble petitioners whose Names are under written petition as followeth: viz: We would Not Trouble Your honours w'th a Tedious diversion: but brieffly spread open our distressed Condition and beg your honours favour and pitty in affording what Relieff may be thought Convenient as for the matter of our Trouble: it is the distressed Condition of our wives and Relations in prison at Salem who are a Company of poore distressed creatures as full of inward grieff and Trouble as thay are able to bear up in life withall and besides That the agrivation of outward Troubles and hardships thay undergo: wants of food Convenient: and the coldness of the winter season that is coming may soon dispatch such out of the way That have Not been used to such hardships: and besides that The exceeding great Charges and expences that we are at upon many accounts which will be two Tedious to give a pertickular account of which will fall heavy upon us especially in a time of so great charge and expence upon a general accout in the Country which is expected of us to bear a part as well as others which if put all together our familys and estates will be brought to Ruin: if it Cannot in time be prevented: having spread open our Condition: we humbly make our adress To your honours to Grant that our wives and Relations being of such That have been approved as penitent Confessors might be Returned home to us upon what bond your honors shall see good we do not petition to take them out of  the hands of Justic but to Remain as prisoners under bond in their own familys wher thay may be more tenderly Cared for: and may be redy to apear to Answer farther when the honored Court shall Call for them: we humbly Crave Your Honors favour and pitty for us and ours herin. having lett down our Troubled state before you. we heartyly pray for your honors petitioners: *John Osgood in behalf of his wife John frey . in behalf of his wife John Maston. in behalf of his wife: mary maston *Christopher Osgood . in behalf of his daughter mary maston *Joseph Willson: in behalf of his wife #[& children] John Bridges: in behalf of his wife and children hope Tiler: in behalf of his wife and daughter *Ebenezer Barker: for his wife *Nathaniel Dane for his wife (In left margin) John Osgood et al.  Petition ( Mass. Archives, Vol. 135 No. 59, Massachusetts State Archives, Boston, MA. )",469,2594
SWP No. 21.5,Sarah Buckley,"September 15, 1692",Deposition,"(Deposition of Ann Putnam, Jr. v. Sarah Buckley ) [September 15, 1692] The deposistion of Ann putnam who testifieth and [saith] that I  have a long time seen gooddy Buckly amongsts the wicthes but she  did not doe me much hurt tell the 23'th of Aprill 1692 and then she  fell upon me most greviously #[to writ in hir book] almost redy to  kill me urging me vehemently to writ in hir book: also on the 18'th may 1692 Sarah Buckly or hir Apperan[c]e did most greviously to[r]ment me dureing the time of her Examina'n for if she did but look upon she would strick me down or allmost choak me: also on  the day of hir Examination I saw Sarah Buckly or her Apperan[c]e  most greviously afflect and torment Mary Walcott mercy lewes Abigail williams and Mary warren: and I beleve in my heart that Sarah Buckly is a wicth and that she has often afflected me and the afforesaid parsons by acts of wicthcraft. The above s'd Deponant Ann Putnam acknowledged before the  Grand inquest the truth of the above Evedence Upon her Oath this 15 of septem'. 1692 (Reverse) Ann Putnam Sarah Buckly An Putnam Billa vera Pone[t] Se the jury finds the person by this indicttement not gilty Non Cull ( Massachusetts Archives Collection, vol. 135, no. 44. Massachusetts State Archives, Boston, MA. )",228,1274
SWP No. 63.20,"Sarah Good Executed July 19, 1692","June 28, 1692",Deposition,"(Deposition of Ann Putnam, Jr. v. Sarah Good ) [June 28, 1692 ] The Deposition of Ann putnam Ju'r who testifieth and saith, that on the 25th of february 1691/92 I saw the apperishtion of Sarah good which did tortor me most greviously but I did not know hir name tell the 27th of february and then she tould me hir name was Sarah good and then she did prick me and pinch me most greviously: and also sense severall times urging me vehemently to writ in hir book and also on the first day of march being the day of hir Examination Sarah good did most greviously tortor me and also severall times sence: and also on the first day of march 1692 I saw the Apperishtion of sarah good goe and afflect and tortor the bodys of Elizabeth parish Abigail williams and Elizabeth Hubburd also I have seen the Apperishtion of Sarah good afflecting the body:of Sarah vibber. mark J Ann putnam ann putnam owned this har testimony to be the truth one har oath. before the Juriars of Inqwest this 28: of June 1692 And further says that shee verily beleives that Sarah Good doth bewitch & afflicte her Sworn before the Court (Reverse) Ann puttnam ag't. Sarah Good (Essex County Court Archives, Salem -- Witchcraft Vol. 1 no. 19, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archive, MA. )",234,1300
SWP No. 94.15,"Rebecca Nurse Executed July 19, 1692","June 3, 1692",Deposition,"(Deposition of Mary Walcott v. Rebecca Nurse ) [June 3, 1692] The Deposistion of Mary walcott aged about 17 years who testifieth and saith that on the 20'th march 1691/92 I saw the Apperishtion of Rebekah Nurs the wife of frances Nurs senr: but she did not hurt me tell the 24 march being the day of hir examination but then the Apperishtion of Rebekah Nurs did most greviously torment me dureing the time of hir Examination: and also severall times sence she hath most greviously afflected me by biting pinching and almost choaking me urging me vehemently to writ in hir book or elce she would kill me: and on the 3'd of may in the evening the Apperishtion of Rebekah Nurs tould me she had a hand in the deaths of Benjamin Holton John Harrod Rebekah Sheppard and severall others and also att the time of hir examination I saw the Apperishtion of Rebekah Nurs goe and hurt the bodys of Ann putnam mircy lewes Elizabeth Hubburd and Abigaill williams Marcy Wowlcot on the oath which she hath taken did owne this har testimony to be the truth. before us the Juriars of Inquest this 3 dy of June. 1692 (Reverse) 2 Mary Walcott ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 80,  Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA.)",229,1290
SWP No. 100.1,Joan Peney,"September 13, 1692",Complaint,"(Complaint v. Joan Penny & Statement of Bond to Prosecute ) [September 13, 1692 ] Zebulon Hill Complaineth in the behalfe of Our Sovereigne Lord and Lady William and Mary King and Queen Unto this Honorable Court now Assembled and Sitting in Salem this 13 day of September 1692./ Against one Goodwife Piney wife of Piney  of the Towne of Gloster in the County of Essex for that shee the said [] Piney Did on the Tenth and Eleventh Day of this Instant September Afflict, torture, and Torment, your Honours Complain't -- Daughter Mary: by that Diabollical Art of Witchcraft, by which the said Mary is in great Paine, and Torture, -- as well be made appear./ *Zebulon Hill Zebulon Hill Obliges himselfe to our Soveraine Wm & Mary King & Queen of England &c in the full & whole Sume of one hundred pounds Currant mony of New England The Condition is that the Said Zeb'n Hill shall & will procecut the within mentioned Complaint against Peney of Gloster to Effect. before me * John Higginson Just'e Peace 20. Sept 1692: -- ( MS Ch K 1.40, vol. 2, p. 198, Rare Books & Manuscripts, Boston Public Library, Boston, MA.)",201,1110
